"3235";NULL;"2013126322";NULL;"САО";"Авиаконструктора Сухого ул. (четная сторона, возле д. 3 по Ходынскому б-ру, съезд на Ходынский б-р)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/zapad/27 з Б.jpg";"Авиаконструктора Сухого ул. (четная сторона, возле д. 3 по Ходынскому б-ру, съезд на Ходынский б-р)";"118644.07";NULL;NULL;"НДС (18%)";"37.53666667";"55.78419444";" ";"0.22";"21.8";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"140000";"1"
"3236";NULL;"2013126521";NULL;"САО";"Авиаконструктора Сухого ул. (нечетная сторона, 40 м после пер-я с Хорошевским 2-м пр-дом)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/zapad/29 з А.jpg";"Авиаконструктора Сухого ул. (нечетная сторона, 40 м после пер-я с Хорошевским 2-м пр-дом)";"127118.64";NULL;NULL;"НДС (18%)";"37.53477778";"55.78297222";" ";"0.21";"21.2";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"150000";"1"
"3237";NULL;"2013126522";NULL;"САО";"Авиаконструктора Сухого ул. (нечетная сторона, 40 м после пер-я с Хорошевским 2-м пр-дом)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/zapad/29 з Б.jpg";"Авиаконструктора Сухого ул. (нечетная сторона, 40 м после пер-я с Хорошевским 2-м пр-дом)";"118644.07";NULL;NULL;"НДС (18%)";"37.53477778";"55.78297222";" ";"0.19";"19.62";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"140000";"1"
"3238";NULL;"683в21";NULL;"САО";"Авиамоторная ул.,д.51А к. 2 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/vostok/0683 в А.jpg";"Авиамоторная ул.,д.51А к. 2 (-)";"127118.64";NULL;NULL;"НДС (18%)";"37.72127778";"55.74555556";" ";"0.22";"22.13";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"150000";"1"
"3239";NULL;"683в22";NULL;"САО";"Авиамоторная ул.,д.51А к. 2 (-)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/vostok/0683 в Б.jpg";"Авиамоторная ул.,д.51А к. 2 (-)";"118644.07";NULL;NULL;"НДС (18%)";"37.72127778";"55.74555556";" ";"0.2";"20.26";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"140000";"1"
"3240";NULL;NULL;NULL;"САО";"Айвазовского ул. (д 2 р г)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/yug/0044 ю А.jpg";"Айвазовского ул. (д 2 р г)";"97457.63";NULL;NULL;"НДС (18%)";"37.54145";"55.6181083333333";" ";"0";"0";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"115000";"1"
"3241";NULL;NULL;NULL;"САО";"Айвазовского ул. (д 2 р г)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/yug/0044 ю Б.JPG";"Айвазовского ул. (д 2 р г)";"84745.75999999999";NULL;NULL;"НДС (18%)";"37.54145";"55.6181083333333";" ";"0";"0";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"100000";"1"
"3242";NULL;"1400227121";NULL;"САО";"Академика Курчатова ул. (1)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/zapad/0111 з А.JPG";"Академика Курчатова ул. (1)";"127118.64";NULL;NULL;"НДС (18%)";"37.47611111";"55.81111111";" ";"0.31";"31.76";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"150000";"1"
"3243";NULL;"1400227122";NULL;"САО";"Академика Курчатова ул. (1)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/zapad/0111 з Б.jpg";"Академика Курчатова ул. (1)";"118644.07";NULL;NULL;"НДС (18%)";"37.47611111";"55.81111111";" ";"0.27";"27.47";"B";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"140000";"1"
"3244";NULL;"2013028421";NULL;"САО";"Академика Сахарова пр-т (11)";"0";NULL;"1";"Постер 6х3";"http://foto.trk-media.ru/trk-gallery/center/0141 ц А.jpg";"Академика Сахарова пр-т (11)";"169491.53";NULL;NULL;"НДС (18%)";"37.64805";"55.7739305555556";" ";"0.37";"37.68";"A";"3x6";"1";"2015-04-29 12:43:25";"2015-04-29 12:43:25";"200000";"1"
